source_year,race,rows,positives,mean_proba,unconstrained_fire_rate,constrained_fire_rate,baseline_fire_rate
2022,2022 :: Abu Dhabi Grand Prix,1086,28,0.06368899036963444,0.06906077348066299,0.0009208103130755065,0.01565377532228361
2022,2022 :: Australian Grand Prix,856,18,0.01857803489617861,0.010514018691588784,0.0,0.0011682242990654205
2022,2022 :: Austrian Grand Prix,1267,46,0.017223172502361567,0.006314127861089187,0.0007892659826361484,0.0023677979479084454
2022,2022 :: Azerbaijan Grand Prix,812,29,0.01308525520178818,0.003694581280788177,0.0,0.0012315270935960591
2022,2022 :: Bahrain Grand Prix,1007,45,0.0547890957260872,0.06554121151936444,0.007944389275074478,0.021847070506454815
2022,2022 :: Belgian Grand Prix,719,26,0.027468056309157322,0.022253129346314324,0.0013908205841446453,0.004172461752433936
2022,2022 :: British Grand Prix,749,15,0.022683687883195098,0.020026702269692925,0.0,0.0013351134846461949
2022,2022 :: Canadian Grand Prix,1092,19,0.0054319489329858785,0.0,0.0,0.0
2022,2022 :: Dutch Grand Prix,1268,49,0.02011526222806478,0.003943217665615142,0.0,0.0
2022,2022 :: Emilia Romagna Grand Prix,1057,22,0.006676562266810934,0.011352885525070956,0.0,0.000946073793755913
2022,2022 :: French Grand Prix,877,18,0.013572649648270454,0.014823261117445839,0.002280501710376283,0.004561003420752566
2022,2022 :: Hungarian Grand Prix,1288,34,0.01771113553359821,0.003105590062111801,0.0,0.0007763975155279503
2022,2022 :: Italian Grand Prix,835,30,0.01079612304961676,0.0023952095808383233,0.0,0.0
2022,2022 :: Japanese Grand Prix,415,2,0.006858806285604701,0.0,0.0,0.0
2022,2022 :: Mexico City Grand Prix,1331,16,0.030987741174655102,0.018031555221637866,0.0,0.002253944402704733
2022,2022 :: Miami Grand Prix,930,25,0.024023786607359307,0.015053763440860216,0.0,0.001075268817204301
2022,2022 :: Monaco Grand Prix,1066,18,0.008011671149441072,0.0,0.0,0.0
2022,2022 :: Saudi Arabian Grand Prix,682,20,0.00701285909845752,0.0,0.0,0.0
2022,2022 :: Singapore Grand Prix,701,11,0.004582821076632509,0.0,0.0,0.0
2022,2022 :: Spanish Grand Prix,1212,44,0.005008606131730344,0.0008250825082508251,0.0,0.0
2022,2022 :: São Paulo Grand Prix,1030,22,0.028106965336510886,0.02621359223300971,0.0,0.003883495145631068
2022,2022 :: United States Grand Prix,841,34,0.027907112530140082,0.023781212841854936,0.0011890606420927466,0.0047562425683709865
2023,2023 :: Abu Dhabi Grand Prix,1297,95,0.08942555604624135,0.09483423284502698,0.0038550501156515036,0.023901310717039322
2023,2023 :: Australian Grand Prix,1206,27,0.03790770006656401,0.014925373134328358,0.0008291873963515755,0.003316749585406302
2023,2023 :: Austrian Grand Prix,1583,111,0.08054976706191562,0.11244472520530638,0.012002526847757423,0.029058749210360075
2023,2023 :: Azerbaijan Grand Prix,1110,57,0.03408418703136612,0.006306306306306306,0.0,0.0
2023,2023 :: Bahrain Grand Prix,1214,129,0.0270060931239116,0.01729818780889621,0.0,0.005766062602965404
2023,2023 :: Belgian Grand Prix,938,83,0.10909568394158835,0.17164179104477612,0.02025586353944563,0.04797441364605544
2023,2023 :: British Grand Prix,1146,60,0.06577664537363206,0.07853403141361257,0.004363001745200698,0.027050610820244327
2023,2023 :: Canadian Grand Prix,1487,69,0.04941503969714215,0.03765971755211836,0.0013449899125756557,0.008742434431741762
2023,2023 :: Dutch Grand Prix,1596,110,0.06427501517461764,0.05889724310776942,0.002506265664160401,0.015037593984962405
2023,2023 :: Emilia Romagna Grand Prix,1057,22,0.02133417530259688,0.02554399243140965,0.007568590350047304,0.015137180700094607
2023,2023 :: French Grand Prix,877,18,0.02168817605120207,0.02280501710376283,0.011402508551881414,0.01596351197263398
2023,2023 :: Hungarian Grand Prix,1553,101,0.09257052287859475,0.128783000643915,0.0019317450096587251,0.05537669027688345
2023,2023 :: Italian Grand Prix,1168,72,0.08723681206421838,0.08818493150684932,0.004280821917808219,0.021404109589041095
2023,2023 :: Japanese Grand Prix,934,38,0.04794740319337992,0.05139186295503212,0.0021413276231263384,0.007494646680942184
2023,2023 :: Las Vegas Grand Prix,790,18,0.042134287678942485,0.0379746835443038,0.0,0.005063291139240506
2023,2023 :: Mexico City Grand Prix,1579,66,0.052990151142437616,0.06333122229259025,0.0018999366687777073,0.01266624445851805
2023,2023 :: Miami Grand Prix,1316,61,0.07563864387310736,0.0737082066869301,0.0,0.00303951367781155
2023,2023 :: Monaco Grand Prix,1717,56,0.02330248066537761,0.0,0.0,0.0
2023,2023 :: Qatar Grand Prix,944,26,0.022693345637814173,0.011652542372881356,0.0,0.0
2023,2023 :: Saudi Arabian Grand Prix,957,60,0.02186152254077732,0.0041797283176593526,0.0,0.0
2023,2023 :: Singapore Grand Prix,1231,44,0.04507371577734468,0.02924451665312754,0.0016246953696181965,0.003249390739236393
2023,2023 :: Spanish Grand Prix,1554,105,0.08707652435873416,0.13513513513513514,0.0,0.007078507078507079
2023,2023 :: São Paulo Grand Prix,1456,78,0.038379297945043446,0.038461538461538464,0.0,0.008241758241758242
2023,2023 :: United States Grand Prix,1197,94,0.07700626249548051,0.10776942355889724,0.017543859649122806,0.03759398496240601
2024,2024 :: Abu Dhabi Grand Prix,1435,130,0.13336620320169693,0.18536585365853658,0.011149825783972125,0.05644599303135889
2024,2024 :: Australian Grand Prix,1274,85,0.05321221617288034,0.033751962323390894,0.0,0.0
2024,2024 :: Austrian Grand Prix,1649,184,0.10560614986518718,0.1479684657368102,0.013341419041843541,0.05215281989084294
2024,2024 :: Azerbaijan Grand Prix,1237,95,0.07259654434982887,0.0549717057396928,0.002425222312045271,0.01131770412287793
2024,2024 :: Bahrain Grand Prix,1274,195,0.20663527644136775,0.3728414442700157,0.05416012558869702,0.0989010989010989
2024,2024 :: Belgian Grand Prix,981,133,0.14857434994218952,0.1926605504587156,0.04383282364933741,0.08664627930682976
2024,2024 :: British Grand Prix,1205,93,0.09935040025202065,0.11701244813278008,0.017427385892116183,0.046473029045643155
2024,2024 :: Canadian Grand Prix,1529,100,0.09799084187475811,0.13342053629823414,0.0013080444735120995,0.041203400915631135
2024,2024 :: Chinese Grand Prix,835,21,0.0613462834542634,0.059880239520958084,0.004790419161676647,0.013173652694610778
2024,2024 :: Dutch Grand Prix,1684,153,0.10726608141897509,0.12885985748218529,0.019596199524940617,0.04156769596199525
2024,2024 :: Emilia Romagna Grand Prix,1409,71,0.0876174875189287,0.11142654364797729,0.0007097232079489,0.0120652945351313
2024,2024 :: French Grand Prix,877,18,0.020132120573412043,0.020524515393386546,0.010262257696693273,0.014823261117445839
2024,2024 :: Hungarian Grand Prix,1562,157,0.13129329046824348,0.18629961587708066,0.009603072983354673,0.06530089628681178
2024,2024 :: Italian Grand Prix,1269,124,0.1337357627070145,0.2364066193853428,0.014972419227738377,0.04491725768321513
2024,2024 :: Japanese Grand Prix,1079,98,0.10702978060069705,0.13623725671918444,0.0027803521779425394,0.03243744207599629
2024,2024 :: Las Vegas Grand Prix,1057,88,0.0523190261111791,0.04919583727530748,0.003784295175023652,0.015137180700094607
2024,2024 :: Mexico City Grand Prix,1717,102,0.07109796128517414,0.0856144437973209,0.0052417006406523005,0.0221316249271986
2024,2024 :: Miami Grand Prix,1322,102,0.10220088122240625,0.12783661119515885,0.0030257186081694403,0.015128593040847202
2024,2024 :: Monaco Grand Prix,1752,64,0.0534499794036354,0.05821917808219178,0.0,0.005136986301369863
2024,2024 :: Qatar Grand Prix,1046,57,0.04500745913187176,0.027724665391969407,0.0,0.0019120458891013384
2024,2024 :: Saudi Arabian Grand Prix,1071,95,0.09206868167465378,0.10644257703081232,0.0,0.012138188608776844
2024,2024 :: Singapore Grand Prix,1416,81,0.06554155297710437,0.05367231638418079,0.0014124293785310734,0.012005649717514125
2024,2024 :: Spanish Grand Prix,1557,161,0.14249407626757907,0.24470134874759153,0.03211303789338472,0.08092485549132948
2024,2024 :: São Paulo Grand Prix,1647,80,0.06303790714848062,0.06678809957498483,0.006678809957498482,0.018822100789313904
2024,2024 :: United States Grand Prix,1355,126,0.15339453846360399,0.23099630996309964,0.016974169741697416,0.11365313653136531
2025,2025 :: Abu Dhabi Grand Prix,1695,169,0.12424100400628563,0.13333333333333333,0.0035398230088495575,0.043067846607669616
2025,2025 :: Australian Grand Prix,1425,112,0.07596904588728931,0.08,0.0007017543859649122,0.002105263157894737
2025,2025 :: Austrian Grand Prix,1984,207,0.07176633360731793,0.08618951612903226,0.0045362903225806455,0.023185483870967742
2025,2025 :: Azerbaijan Grand Prix,1430,106,0.11233271525004097,0.13496503496503495,0.0048951048951048955,0.025874125874125874
2025,2025 :: Bahrain Grand Prix,1591,242,0.23424475666431596,0.38152105593966057,0.05593966059082338,0.16216216216216217
2025,2025 :: Belgian Grand Prix,1237,159,0.12681893615691184,0.16976556184316896,0.014551333872271624,0.06628940986257073
2025,2025 :: British Grand Prix,1280,117,0.12646146583316836,0.15859375,0.02109375,0.05078125
2025,2025 :: Canadian Grand Prix,1924,148,0.08737634881388268,0.12006237006237007,0.0031185031185031187,0.038461538461538464
2025,2025 :: Chinese Grand Prix,1312,71,0.05480950617889246,0.035823170731707314,0.0,0.001524390243902439
2025,2025 :: Dutch Grand Prix,1985,215,0.0940934780502557,0.11486146095717883,0.02065491183879093,0.04030226700251889
2025,2025 :: Emilia Romagna Grand Prix,1725,118,0.07655431176268734,0.07594202898550724,0.002898550724637681,0.011014492753623189
2025,2025 :: French Grand Prix,877,18,0.021554998739782706,0.019384264538198404,0.0068415051311288486,0.01596351197263398
2025,2025 :: Hungarian Grand Prix,1954,193,0.09972630765807293,0.1796315250767656,0.0020470829068577278,0.009723643807574206
2025,2025 :: Italian Grand Prix,1488,153,0.11425128839504853,0.15255376344086022,0.006720430107526882,0.03494623655913978
2025,2025 :: Japanese Grand Prix,1400,132,0.10683980592318183,0.1357142857142857,0.0014285714285714286,0.030714285714285715
2025,2025 :: Las Vegas Grand Prix,1205,113,0.04619120155616285,0.04398340248962656,0.0,0.010788381742738589
2025,2025 :: Mexico City Grand Prix,1999,131,0.06536975071735038,0.0785392696348174,0.0065032516258129065,0.018009004502251125
2025,2025 :: Miami Grand Prix,1504,124,0.11065311024687778,0.17486702127659576,0.0,0.006648936170212766
2025,2025 :: Monaco Grand Prix,2189,116,0.05043265456958415,0.06030150753768844,0.0,0.010050251256281407
2025,2025 :: Qatar Grand Prix,1346,125,0.03865342695940276,0.02674591381872214,0.0,0.002228826151560178
2025,2025 :: Saudi Arabian Grand Prix,1321,118,0.12320991732037882,0.1975775927327782,0.004542013626040878,0.036336109008327025
2025,2025 :: Singapore Grand Prix,1669,117,0.07917781957276794,0.09586578789694428,0.0035949670461354103,0.014979029358897543
2025,2025 :: Spanish Grand Prix,1906,227,0.14158294068220723,0.22927597061909757,0.008394543546694649,0.08184679958027283
2025,2025 :: São Paulo Grand Prix,1851,121,0.08989517694786306,0.11831442463533225,0.005942733657482442,0.031874662344678555
2025,2025 :: United States Grand Prix,1572,160,0.19834375210223282,0.30916030534351147,0.03435114503816794,0.1291348600508906
